"","before","after"
"283","NEW YORK CITY HEALTH AND HOSPITAL CORPORATION","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"284","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"285","NEW YORK SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING","NEW YORK SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING"
"286","NEW YORK UNIVERSITY SCHOOL OF MEDICINE","NEW YORK UNIVERSITY SCHOOL OF MEDICINE"
"287","NEWYORK-PRESBYTERIAN/BROOKLYN METHODIST","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"288","NORTH BRONX HEALTHCARE NETWORK","NORTH BRONX HEALTHCARE NETWORK"
"289","NORTH GENERAL HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"290","NY FOUNDLING","NYSARC INC NYC CHAPTER"
"291","NY HAND REHABILITATION OT PC","NYSARC INC NYC CHAPTER"
"292","NYU","NYSARC INC NYC CHAPTER"
"293","OUR CHILDREN FIRST, INC","OUR CHILDREN FIRST, INC"
"294","P.A. TERRACIANO, M.D., P.C.","P.A. TERRACIANO, M.D., P.C."
"295","PALLADIA INC","PALLADIA INC"
"296","PARKSHORE HEALTH CARE LLC","PARKSHORE HEALTH CARE LLC"
"297","PARKSPORTS PHYSICAL THERAPY, PLLC","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY PC"
"298","PAUL J. COOPER CENTER FOR HUMAN SERVICES, INC.","PAUL J. COOPER CENTER FOR HUMAN SERVICES, INC."
"299","PDI HEALTH LLC","PDI HEALTH LLC"
"300","PEDIATRIC HEAD AND NECK ASSOCIATES, PC","PEDIATRIC HEAD AND NECK ASSOCIATES, PC"
"301","PREMIER HEALTHCARE, INC.","PREMIER HEALTHCARE, INC."
"302","PREVENTIVE DIAGNOSTICS INC.","PREVENTIVE DIAGNOSTICS INC"
"303","PROGRESSIVE PODIATRY, PLLC","PROGRESSIVE PODIATRY, PLLC"
"304","QUALITY CARE PHYSICAL THERAPY, PC","RECOVERY PHYSICAL THERAPY, PC"
"305","RAJ MEDICAL DIAGNOSTICS PC","RAJ MEDICAL DIAGNOSTICS PC"
"306","RJZM LLC","RJZM LLC"
"307","SCO SILVER CARE OPERATIONS LLC","SCO SILVER CARE OPERATIONS LLC"
"308","SENIORBRIDGE FAMILY COMPANIES (CT), INC","SENIORBRIDGE FAMILY COMPANIES (FL), INC."
"309","SHELTERING ARMS CHILDREN & FAMILY SERVICES, INC","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC."
"310","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC","SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC."
"311","SOUTH BEACH PSYCHIATRIC CENTER","BROOKLYN PSYCHIATRIC CENTERS, INC"
"312","ST LUKES-ROOSEVELT HOSPITAL CENTER","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"313","ST. LUKE'S ROOSEVELT HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"314","ST. VINCENT'S SERVICES","ST. VINCENT'S SERVICES"
"315","STARRETT PODIATRY, LLC","STARRETT PODIATRY, LLC"
"316","STATEN ISLAND MENTAL HEALTH SOCIETY","STATEN ISLAND MENTAL HEALTH SOCIETY"
"317","SUGARHILL MEDICAL P.C.","SUGARHILL MEDICAL P.C."
"318","SUNY DOWNSTATE","NYSARC INC NYC CHAPTER"
"319","SV OPERATING THREE LLC","SV OPERATING THREE LLC"
"320","THE BRIDGE","THE BRIDGE"
"321","THE CHILDREN'S AID SOCIETY","THE CHILDREN'S AID SOCIETY"
"322","THE NEW YORK FOUNDLING HOSPITAL","NEW YORK FOUNDLING"
"323","THE SILVERCARE LLC","THE SILVERCARE LLC"
"324","THERADYNAMICS PHYSICAL REHAB","THERADYNAMICS PHYSICAL REHAB"
"325","TRI CENTER, INC.","BROOKLYN PSYCHIATRIC CENTERS, INC"
"326","UNITED ODD FELLOW AND REBEKAH HOME","UNITED ODD FELLOW AND REBEKAH HOME"
"327","UNIVERSITY HOSPITAL OF BROOKLYN","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"328","UNIVERSITY SETTLEMENT","UNIVERSITY SETTLEMENT"
"329","VISITING NURSE ASSOCIATION HEALTH CARE SERVICES INC","NYSARC INC NYC CHAPTER"
"330","WARTBURG RECEIVER LLC","WARTBURG RECEIVER LLC"
"331","WOODHULL MEDICAL & MENTAL HEALTH CENTER","WOODHULL MEDICAL AND MENTAL HEALTH CENTER"
"332","YELED V'YALDA","YELED V'YALDA"
"333","1 WISE PODIATRY CARE P.C.","1 WISE PODIATRY CARE P.C."
"334","158TH STREET NEIGHBORHOOD PHARMACY, LLC","158TH STREET NEIGHBORHOOD PHARMACY, LLC"
"335","1ST AIDE HOME CARE, INC.","1ST AIDE HOME CARE, INC."
"336","1ST BRONXCARE PHARMACY INC","1ST BRONXCARE PHARMACY INC"
"337","21ST CENTURY MEDICAL PC","NYSARC INC NYC CHAPTER"
"338","42ND STREET VISION EXPRESS, LLC","42ND STREET VISION EXPRESS, LLC"
"339","596 MORRIS AVENUE PHARMACY INC","NYSARC INC NYC CHAPTER"
"340","885 PARK AVENUE PODIATRY","NYSARC INC NYC CHAPTER"
"341","A & S OPTICAL BOUTIQUE","A & S OPTICAL BOUTIQUE"
"342","ABILITY BUILDERS FOR CHILDREN, LLC","ABILITY BUILDERS FOR CHILDREN, LLC"
"343","ACCELPATH PATHOLOGY DIAGNOSTIC SERVICES PLLC","ACCELPATH PATHOLOGY DIAGNOSTIC SERVICES PLLC"
"344","ACCORDIUS HEALTH AT ST MARY, LLC","ACCORDIUS HEALTH AT ST MARY, LLC"
"345","ACDP","ACDP"
"346","ACHIEVE BEYOND","ACHIEVE BEYOND"
"347","ACU-HEALING PLUS","ACU-HEALING PLUS"
"348","ADDICTION RESEARCH AND TREATMENT CORPORATION","NYSARC INC NYC CHAPTER"
"349","ADVANTAGE MANAGEMENT ASSOCIATES INC.","YOUNG ADULT INSTITUTE, INC."
"350","ADVANTAGECARE PHYSICIANS PC","ADVANTAGECARE PHYSICIANS PC"
"351","AGELESS MEN'S HEALTH","AGELESS MEN'S HEALTH"
"352","ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNIVERSITY","ALBERT EINSTEIN COLLEGE OF MEDICINE"
"353","ALINA VASILYEVA-ROZINGER, D.P.M., P.C.","ALINA VASILYEVA-ROZINGER, D.P.M., P.C."
"354","ALL HEART HOMECARE AGENCY","ALL HEART HOMECARE AGENCY"
"355","ALLCARE HOMECARE AGENCY, INC.","ALLCARE HOMECARE AGENCY, INC."
"356","AMERICAN HEALTHAIDE CARE, INC","AMERICAN HEALTHAIDE CARE, INC"
"357","AMERICAN SENIOR CARE CORP.","AMERICAN SENIOR CARE CORP."
"358","AMERICARE CERTIFIED SPECIAL SERVICES, INC.","AMERICARE CERTIFIED SPECIAL SERVICES, INC."
"359","AMERICARE, INC.","AMERICARE, INC."
"360","AMSTERDAM WEST SIDE DENTAL ASSOCIATES","AMSTERDAM WEST SIDE DENTAL ASSOCIATES"
"361","ANATOLY BELILOVSKY MD PLLC","ANATOLY BELILOVSKY MD PLLC"
"362","ANCHOR HOUSE, INC.","ANCHOR HOUSE, INC."
"363","ANDREW D PEARLE MD PC","ANDREW D PEARLE MD PC"
"364","ANGEL CARE, INC.","ANGEL CARE, INC."
"365","ANGEL HOME CARE AGENCY INC","ANGEL HOME CARE AGENCY INC"
"366","APPLIED BEHAVIORAL MENTAL HEALTH COUNSELING","APPLIED BEHAVIORAL MENTAL HEALTH COUNSELING"
"367","AREESHA PHARMACY INC","AREESHA PHARMACY INC"
"368","AS MEDICAL PC","AS MEDICAL PC"
"369","ASSISTED HOME CARE, LLC","ASSISTED HOME CARE, LLC"
"370","ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.","ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC."
"371","ASSOCIATION FOR THE HELP OF RETARDED CHILDREN","ASSOCIATION FOR THE HELP OF RETARDED CHILDREN"
"372","ATTENDING HOME CARE SERVICES, LLC","ATTENDING HOME CARE SERVICES, LLC"
"373","AUTO CAR INC.","AUTO CAR INC."
"374","AVENUE P MEDICAL ARTS P.C.","NYSARC INC NYC CHAPTER"
"375","AVISHAI NEUMAN MEDICAL PC","NYSARC INC NYC CHAPTER"
"376","AVONDALE CARE GROUP LLC","AVONDALE CARE GROUP LLC"
"377","BALM OF GILEAD MEDICAL OFFICE, PC","BALM OF GILEAD MEDICAL OFFICE, PC"
"378","BARRY G CHAIKEN MD PC","BARRY G CHAIKEN MD PC"
"379","BATZOFIN FERTILITY SERVICES","BATZOFIN FERTILITY SERVICES"
"380","BAY PARKWAY OPTICAL CORP","BAY PARKWAY OPTICAL CORP"
"381","BAY RIDGE DENTAL GROUP, P.C.","BAY RIDGE DENTAL GROUP, P.C."
"382","BAY RIDGE MEDICAL IMAGING, PC","BAY RIDGE MEDICAL IMAGING, PC"
"383","BAY RIDGE PHYSICAL THERAPY PC","BAY RIDGE PHYSICAL THERAPY PC"
"384","BEHAVIORAL AND NEUROPSYCHOLOGICAL CONSULTANTS, LLP","NYSARC INC NYC CHAPTER"
"385","BELLEVUE HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"386","BENSONHURST FAMILY VISION CORP.","NYSARC INC NYC CHAPTER"
"387","BERNADITH RUSSELL, MD, PC","BERNADITH RUSSELL, MD, PC"
"388","BEST AID COMMUNITY PHARMACY LLC","BEST AID COMMUNITY PHARMACY LLC"
"389","BIENVENIDO FAJARDO, M.D.P.C.","BIENVENIDO FAJARDO, M.D.P.C."
"390","BIG APPLE HOMECARE AGENCY INC","BIG APPLE HOMECARE AGENCY INC"
"391","BIG MART PHARMACY INC","BIG MART PHARMACY INC"
"392","BIRCH FAMILY SERVICES, INC","BIRCH FAMILY SERVICES, INC."
"393","BLANTON-PEALE INSTITUTE","BLANTON-PEALE INSTITUTE"
"394","BLOCK INSTITUTE SCHOOL","BLOCK INSTITUTE SCHOOL"
"395","BLONDELL RX CORP","BLONDELL RX CORP"
"396","BORO PARK OPERATING CO LLC","BORO PARK OPERATING CO LLC"
"397","BOWERY PHARMACY INC","BOWERY PHARMACY INC"
"398","BRIDGE BACK TO LIFE CENTER","BRIDGE BACK TO LIFE CENTER, INC."
"399","BRIDGE BACK TO LIFE, INC.","BRIDGE BACK TO LIFE CENTER, INC."
"400","BRIDGING ACCESS TO CARE","BRIDGING ACCESS TO CARE"
"401","BRIDGING ACCESS TO CARE, INC.","BRIDGING ACCESS TO CARE"
"402","BRIGHTON HOME CARE","BRIGHTON HOME CARE"
"403","BRIGHTPOINT HEALTH","BRIGHTPOINT HEALTH"
"404","BRONX FOOT REHABILITATION ASSOCIATES","BRONX FOOT REHABILITATION ASSOCIATES"
"405","BRONX RIVER NEPHRO-CARE INC.","BRONX RIVER NEPHRO-CARE INC."
"406","BROOKDALE PHYSICIANS DIALYSIS ASSOCIATES","BROOKDALE PHYSICIANS DIALYSIS ASSOCIATES"
"407","BROOKDALE UNIVERSITY MEDICAL CENTER","BROOKDALE UNIVERSITY MEDICAL CENTER"
"408","BROOKLYN AIDS TASK FORCE","BROOKLYN AIDS TASK FORCE"
"409","BROOKLYN CENTER FOR FAMILIES IN CRISIS","BROOKLYN CENTER FOR FAMILIES IN CRISIS"
"410","BROOKLYN COLLEGE SPEECH AND HEARING CENTER","BROOKLYN COLLEGE SPEECH AND HEARING CENTER"
"411","BROOKLYN LEARNING CENTER","BROOKLYN LEARNING CENTER"
"412","BROOKLYN NUCLEAR SPECT IMAGING, P.C.","NYSARC INC NYC CHAPTER"
"413","BROOKLYN PLAZA MEDICAL CENTER, INC","BROOKLYN PLAZA MEDICAL CENTER, INC"
"414","BROOKLYN PODIATRY PC","BROOKLYN PODIATRY PC"
"415","CALVARY HOSPITAL INC","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"416","CALVARY HOSPITAL INC.","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"417","CANARSIE AWARE","CANARSIE AWARE"
"418","CARERITE LLC","CARERITE LLC"
"419","CARITAS EMERGENCY MEDICAL SERVICES, PC","CARITAS EMERGENCY MEDICAL SERVICES, PC"
"420","CARL FENICHEL COMM SVCS","CARL FENICHEL COMM SVCS"
"421","CAROLE LYNNE SHEAR, M.D., P.C.","CAROLE LYNNE SHEAR, M.D., P.C."
"422","CASTLETON PHARMACY CORP","CASTLETON PHARMACY CORP"
"423","CATHERINE NHUNG LEE DPM, P.C.","NYSARC INC NYC CHAPTER"
"424","CATHOLIC GUARDIAN SOCIETY AND HOME BUREAU","CATHOLIC GUARDIAN SOCIETY & HOME BUREAU"
"425","CATHOLIC MANAGED LTC INC","CATHOLIC MANAGED LTC INC"
"426","CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES","CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES"
"427","CENTER FOR NURSING AND REHABILITATION","NYSARC INC NYC CHAPTER"
"428","CENTER FOR URBAN COMMUNITY SERVICES","CENTER FOR URBAN COMMUNITY SERVICES"
"429","CENTERLIGHT HEALTHCARE, INC.","CENTERLIGHT HEALTHCARE, INC."
"430","CENTRO SOCIAL LA ESPERANZA, INC.","CENTRO SOCIAL LA ESPERANZA, INC."
"431","CFO RETAIL INC.","CFO RETAIL, INC."
"432","CFO RETAIL OF NEW YORK, LLC","CFO RETAIL OF NEW YORK, LLC"
"433","CFO RETAIL SERVICES, LLC","CFO RETAIL SERVICES, LLC"
"434","CHAIM SIEGER","CHAIM SIEGER"
"435","CHARMAR INC","CHARMAR INC"
"436","CHEMPLUS PHARMACY CORP","CHEMPLUS PHARMACY CORP"
"437","CHILDREN'S AID SOCIETY","THE CHILDREN'S AID SOCIETY"
"438","CHILDREN'S HOME INTERVENTION PROGRAM, INC.","CHILDREN'S HOME INTERVENTION PROGRAM, INC."
"439","CITIPRO-GROUP","CITIPRO-GROUP"
"440","CITY PRO","CITY PRO GROUP INC"
"441","CITY PRO GROUP","CITY PRO GROUP INC"
"442","CITY PRO GROUP INC.","CITY PRO GROUP INC"
"443","CITY PRO GROUP, INC","CITY PRO GROUP INC"
"444","CLR MINOA LLC","CLR MINOA LLC"
"445","CMC RADIOLOGICAL SERVICES PC","CMC RADIOLOGICAL SERVICES PC"
"446","COLUMBIA PRESBYTERIAN HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"447","COLUMBIA RADIOLOGY AT LAWRENCE","COLUMBIA RADIOLOGY AT LAWRENCE"
"448","COLUMBIA UNIVERSITY","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK"
"449","COMMUNITY COUNSELING & MEDIATION","COMMUNITY COUNSELING & MEDIATION"
"450","COMMUNITY COUNSELING AND MEDIATION","COMMUNITY COUNSELING AND MEDIATION"
"451","COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC.","COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC."
"452","COMMUNITY HEALTH PROJECT INC","COMMUNITY HEALTH PROJECT INC"
"453","COMPETENT CARE","COMPETENT CARE"
"454","COMPLEXCARE SOLUTIONS","COMPLEXCARE SOLUTIONS"
"455","COMPREHENSIVE PAIN MANAGEMENT-ANESTHESIA SERVICES, P.C.","COMPREHENSIVE PAIN MANAGEMENT-ANESTHESIA SERVICES, P.C."
"456","COMPREHENSIVE PHYSICAL AND OCCUPATIONAL THERAPY ASSOCIATES, PLLC","COMPREHENSIVE PHYSICAL AND OCCUPATIONAL THERAPY ASSOCIATES, PLLC"
"457","CONFUCIUS PHARMACY INC","NYSARC INC NYC CHAPTER"
"458","COOPER CHIROPRACTIC & WELLNESS CENTER","COOPER CHIROPRACTIC & WELLNESS CENTER"
"459","COORDINATED BEHAVIORAL CARE, INC.","COORDINATED BEHAVIORAL CARE, INC."
"460","CROSS COUNTY MEDICAL PC","CROSS COUNTY MEDICAL PC"
"461","CROWN HEIGHTS PHARMACY INC","CROWN HEIGHTS PHARMACY INC"
"462","CVS ALBANY LLC","NYSARC INC NYC CHAPTER"
"463","CYPRESS CARE PHARMACY INC.","CYPRESS CARE PHARMACY INC."
"464","D.L ACUPUNCTURE, PC","ACDP"
"465","DENTAL SPECIALTY ASSOCIATES PC","DENTAL SPECIALTY ASSOCIATES PC"
"466","DIFELICE ORTHOPAEDICS PC","DIFELICE ORTHOPAEDICS PC"
"467","DOCTOR'S MEDICAL P.C","DOCTOR'S MEDICAL P.C"
"468","DOWN EAST LIVING & REHAB CENTER, LLC","DOWN EAST LIVING & REHAB CENTER, LLC"
"469","DOWNSTATE MEDICAL CENTER","SUNY DOWNSTATE MEDICAL CENTER"
"470","DOWNTOWN FAMILY MEDICINE, PC","DOWNTOWN FAMILY MEDICINE, PC"
"471","DR. ALAN J. ROSEN, DPM, PC","DR. ALAN J. ROSEN, DPM, PC"
"472","EARLY CHILDHOOD ASSOCIATES","EARLY CHILDHOOD ASSOCIATES"
"473","EAST & WEST PHYSICAL THERAPIST & ACUPUNCTURE PLLC","ACDP"
"474","EAST SHORE MEDICAL PC","EAST SHORE MEDICAL PC"
"475","ELENA FELDMAN OPTOMETRIST P.C.","ELENA FELDMAN OPTOMETRIST P.C."
"476","ELITE CARE OCCUPATIONAL THERAPY PLLC","ELITE CARE OCCUPATIONAL THERAPY PLLC"
"477","EMERGING VISION","EMERGING VISION INC."
"478","EMERGING VISION INC","EMERGING VISION INC."
"479","EMERGING VISION, INC","EMERGING VISION INC."
"480","ENDO-METABOLIC PRACTICE PLLC","ENDO-METABOLIC PRACTICE PLLC"
"481","ENTIRE CARE INC.","ENTIRE CARE INC."
"482","ENVISION OPTICS INC","ENVISION OPTICS INC"
"483","EP HOME CARE LLC","EP HOME CARE LLC"
"484","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC."
"485","ESCHEN PROSTHETIC AND ORTHOTIC LABORATORIES, INC.","ESCHEN PROSTHETIC & ORTHOTIC LABORATORIES, INC."
"486","ESTHETICARE DENTAL CONSULTANT","NYSARC INC NYC CHAPTER"
"487","EVELYN DOUGLIN CENTER SPIN","EVELYN DOUGLIN CENTER SPIN"
"488","EVEREST DIALYSIS SERVICES, INC.","EVEREST DIALYSIS SERVICES, INC."
"489","EXCELLA MEDICINE PC","EXCELLA MEDICINE PC"
"490","EXCELSIOR INTEGRATED MEDICAL GROUP, PLLC","EXCELSIOR INTEGRATED MEDICAL GROUP, PLLC"
"491","EXPONENTS","EXPONENTS"
"492","EYES & OPTICS GRAND INC","JAND INC."
"493","FAMILY PHARMACY SOLUTIONS INC","FAMILY PHARMACY SOLUTIONS INC"
"494","FDNY","NYSARC INC NYC CHAPTER"
"495","FEDCAP REHABILITATION SERVICES","FEDCAP REHABILITATION SERVICES, INC."
"496","FEDERATION OF MULTICULTURAL PROGRAMS, INC.","FEDERATION OF MULTICULTURAL PROGRAMS, INC"
"497","FELDMAN MEDICAL P.C.","FELDMAN MEDICAL P.C."
"498","FELDMAN MEDICAL PC","AS MEDICAL PC"
"499","FIFTH AVENUE UROLOGY","NYSARC INC NYC CHAPTER"
"500","FIRST STEP,LLC","FIRST STEP,LLC"
"501","FIVE BOROUGH HOME CARE, INC","FIVE BOROUGH HOME CARE, INC"
"502","FIVE STAR HOME HEALTH CARE AGENCY","FIVE STAR HOME HEALTH CARE AGENCY"
"503","FLASHRAD LLC","FLASHRAD LLC"
"504","FLATBUSH DENTAL ASSOCIATES PC","FLATBUSH DENTAL ASSOCIATES PC"
"505","FLATLANDS EYE CARE CENTER","FLATLANDS EYE CARE CENTER"
"506","FOLEY PLAZA MEDICAL, PC","FOLEY PLAZA MEDICAL, PC"
"507","FOOT CLINICS OF NEW YORK","FOOT CLINICS OF NEW YORK"
"508","FORDHAM TREMONT CMHC","FORDHAM TREMONT CMHC"
"509","FORDHAM TREMONT COMMUNITY MENTAL HEALTH CENTER","FORDHAM TREMONT COMMUNITY MENTAL HEALTH CENTER"
"510","FOREMOST HOME CARE","FOREMOST HOME CARE"
"511","FORT TRYON CENTER FOR REHABILITATION AND NURSING","NYSARC INC NYC CHAPTER"
"512","FORT TRYON REHABILITATION & HEALTH CARE FACILITY LLC","FORT TRYON REHABILITATION & HEALTH CARE FACILITY LLC"
"513","FOUZIA SYED PHYSICIAN PLLC","FOUZIA SYED PHYSICIAN PLLC"
"514","FRIENDLY HOME CARE","FRIENDLY HOME CARE"
"515","GARY H FRANCO","GARY H FRANCO"
"516","GERSHKOVICH MEDICINE, PC","GERSHKOVICH MEDICINE, PC"
"517","GLOBAL OPTICS,INC.","GLOBAL OPTICS,INC."
"518","GOLD & SILVER AGING HOME CARE INC","GOLD & SILVER AGING HOME CARE INC"
"519","GOODWILL SOCIAL DAYCARE, INC.","GOODWILL SOCIAL DAYCARE, INC."
"520","GOTHAM GASTROENTEROLOGY, PLLC","GOTHAM GASTROENTEROLOGY, PLLC"
"521","GOTHAM PER DIEM, INC.","GOTHAM PER DIEM, INC."
"522","GRAND STREET PHARMACEUTICAL LLC","GRAND STREET PHARMACEUTICAL LLC"
"523","GREATCARE INC","GREATCARE INC"
"524","GREEN VALLEY SNF LLC","GREEN VALLEY SNF LLC"
"525","GREEN VALLEY TERRACE SNF LLC","GREEN VALLEY TERRACE SNF LLC"
"526","GREGORY SUPRIN MD PLLC","GREGORY SUPRIN MD PLLC"
"527","GRISTEDES OPERATING CORP","GRISTEDES OPERATING CORP"
"528","GRUPP II INC.","GRUPP II INC."
"529","GUILDNET, INC.","GUILDNET, INC."
"530","H&D PHYSICAL THERAPY & OCCUPATIONAL THERAPY PLLC","H&D PHYSICAL THERAPY & OCCUPATIONAL THERAPY PLLC"
"531","HANA DENTAL NY P.C.","NYSARC INC NYC CHAPTER"
"532","HAND IN HAND DEVELOPMENT INC","HAND IN HAND DEVELOPMENT INC"
"533","HANNA Z ADULT DAYCARE INC","HANNA Z ADULT DAYCARE INC"
"534","HAPPY ISLAND SENIOR CENTER,LLC","HAPPY ISLAND SENIOR CENTER,LLC"
"535","HAYM SALOMON HOME FOR THE AGED LLC","HAYM SALOMON HOME FOR THE AGED LLC"
"536","HAZELDEN NEW YORK","HAZELDEN NEW YORK"
"537","HCHC, INC.","HCHC, INC."
"538","HEALTH CITY PHARMACY CORP","HEALTH CITY PHARMACY CORP"
"539","HEALTH FIRST PHARMACY INC","HEALTH FIRST PHARMACY INC"
"540","HEALTHSTAR MEDICAL EQUIPMENT LLC","HEALTHSTAR MEDICAL EQUIPMENT LLC"
"541","HEALTHWISE MEDICAL ASSOCIATES, PC","HEALTHWISE MEDICAL ASSOCIATES, PC"
"542","HEALTHY LIVING","HEALTHY LIVING"
"543","HEALTHY STEP","HEALTHY STEP"
"544","HEART DOCS LLP","HEART DOCS LLP"
"545","HEBREW ACADEMY FOR SPECIAL CHILDREN","HEBREW ACADEMY FOR SPECIAL CHILDREN"
"546","HELP HOME HEALTH CARE AGENCY LLC","HELP HOME HEALTH CARE AGENCY LLC"
"547","HELPFULHAND AGENCY","HELPFUL HAND AGENCY"
"548","HELPING U HOMECARE, INC.","HELPING U HOMECARE, INC."
"549","HEMATOLOGY ONCOLOGY ASSOCIATES OF BROOKLYN, LLP","HEMATOLOGY ONCOLOGY ASSOCIATES OF BROOKLYN, LLP"
"550","HHC CONEY ISLAND HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"551","HIGH STANDARD HOME CARE, INC.","HIGH STANDARD HOME CARE, INC."
"552","HIGHLINE ORTHOPAEDICS","HIGHLINE ORTHOPAEDICS"
"553","HIGHLINE ORTHOPAEDICS, PLLC","HIGHLINE ORTHOPAEDICS"
"554","HISPANIOLA MEDICAL CARE, PC","HISPANIOLA MEDICAL CARE, PC"
"555","HMB PHARMACY MANAGEMENT LLC","HMB PHARMACY MANAGEMENT LLC"
"556","HOSPITAL","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION"
"557","HOUSING WORKS","HOUSING WORKS"
"558","HSS NON PAR PROVIDERS","HSS NON PAR PROVIDERS"
"559","HUASHI EYEWEAR","HUASHI EYEWEAR"
"560","HUMANA AT HOME, INC.","HUMANA AT HOME, INC."
"561","INFINICARE INC.","INFINICARE INC."
"562","INFUSION OPTIONS INC","NYSARC INC NYC CHAPTER"
"563","INSTITUTE FOR CONTEMPORARY PSYCHOTHERAPY","INSTITUTE FOR CONTEMPORARY PSYCHOTHERAPY"
"564","INTELLECTUAL GIFT SLP, PC","INTELLECTUAL GIFT SLP, PC"
"565","INTERGEN HEALTH, LLC","INTERGEN HEALTH, LLC"
"566","INTERNATIONAL CENTER FOR THE DISABLED","ICD INTERNATIONAL CENTER FOR THE DISABLED"
"567","INWOOD COMMUNITY SERVICES","INWOOD COMMUNITY SERVICES"
"568","INWOOD COMMUNITY SERVICES, INC.","INWOOD COMMUNITY SERVICES"
"569","IRVINGTON HEALTHCARE PROVIDERS LLC","IRVINGTON HEALTHCARE PROVIDERS LLC"
"570","ISABELLA GERIATRIC CENTER, INC.","BROOKLYN PSYCHIATRIC CENTERS, INC"
"571","ISLAND REHABILITATIVE SERVICES CORP.","ISLAND REHABILITATIVE SERVICES CORP."
"572","JANINE MANTZARIS PHYSICAL THERAPY PC","JANINE MANTZARIS PHYSICAL THERAPY PC"
"573","JEROME H SIEGEL MDPC","JEROME H SIEGEL MDPC"
"574","JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES","JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES, INC"
"575","JEWISH CHILD CARE ASSOCIATION","JEWISH CHILD CARE ASSOCIATION OF NEW YORK"
"576","JM PHYSICAL THERAPY, PC","RECOVERY PHYSICAL THERAPY, PC"
"577","JOINT EFFORT PHYSICAL THERAPY","JOINT EFFORT PHYSICAL THERAPY"
"578","JOJAN PHARMA INC","JOJAN PHARMA INC"
"579","K ZARK MEDICAL P.C.","K ZARK MEDICAL P.C."
"580","KAKATIYA INC","KAKATIYA INC"
"581","KAREN HORNEY CLINIC","KAREN HORNEY CLINIC"
"582","KENMAR SURGICAL AIDS, INC.","KENMAR SURGICAL AIDS, INC."
"583","KING COMMUNITY PHARMACY INC.","KING COMMUNITY PHARMACY INC."
"584","KINGS HWY PHARMACY AND MEDICAL SUPPLY INC","KINGS HWY PHARMACY AND MEDICAL SUPPLY INC"
"585","KINGS RENAL SERVICES, PC","KINGS RENAL SERVICES, PC"
"586","KINGSBORO OPTOMETRIC PC","KINGSBORO OPTOMETRIC PC"
"587","KLB PHYSICAL THERAPY, PLLC","KLB PHYSICAL THERAPY, PLLC"
"588","KOPPELMAN DENTAL","KOPPELMAN DENTAL"
"589","KOVACS CHIROPRACTIC SERVICES, P.C.","KOVACS CHIROPRACTIC SERVICES, P.C."
"590","LA CASA DE SALUD, INC","LA CASA DE SALUD, INC"
"591","LEGENDARY SPEECH PATHOLOGY PLLC","LEGENDARY SPEECH PATHOLOGY PLLC"
"592","LIBERTY HEARING CENTER","LIBERTY HEARING CENTER"
"593","LIFE ADJUSTMENT CENTER, INC.","LIFE ADJUSTMENT CENTER, INC."
"594","LIFESPIRE, INC.","LIFESPIRE, INC."
"595","LIFESTART","LIFESTART"
"596","LIFETEST LLC","LIFETEST LLC"
"597","LINCOLN MEDICAL AND MENTAL HEALTH CENTER PROGRAM","LINCOLN MEDICAL AND MENTAL HEALTH CENTER"
"598","LOS NINOS SERVICES","LOS NINOS SERVICES"
